symbol,name,sector
BANDHANBNK,Bandhan Bank,BANK
AUBANK,AU Small Finance,BANK
IOC,IOC,DEFAULT
GAIL,GAIL,DEFAULT
TATAPOWER,Tata Power,DEFAULT
AMBUJACEM,Ambuja Cements,DEFAULT
SHREECEM,Shree Cement,DEFAULT
INDIGO,IndiGo,DEFAULT
IRCTC,IRCTC,DEFAULT
CHOLAFIN,Cholamandalam,DEFAULT
MUTHOOTFIN,Muthoot Finance,DEFAULT
ICICIGI,ICICI Lombard,DEFAULT
SBICARD,SBI Card,DEFAULT
DMART,Avenue Supermarts,FMCG
NAUKRI,Info Edge,DEFAULT
NYKAA,Nykaa,DEFAULT
PAYTM,Paytm,DEFAULT
INDUSTOWER,Indus Towers,DEFAULT
IDEA,Vodafone Idea,DEFAULT
MAXHEALTH,Max Healthcare,PHARMA
OBEROIRLTY,Oberoi Realty,DEFAULT
GODREJPROP,Godrej Properties,DEFAULT
LICHSGFIN,LIC Housing,DEFAULT
INDIANB,Indian Bank,PSUBANK
JSWENERGY,JSW Energy,DEFAULT
EXIDEIND,Exide,AUTO
SONACOMS,Sona BLW,AUTO
APLAPOLLO,APL Apollo,METAL
INDHOTEL,Indian Hotels,DEFAULT
JUBLFOOD,Jubilant Foodworks,FMCG
SRF,SRF,DEFAULT
BSE,BSE,DEFAULT
MCX,MCX,DEFAULT
ANGELONE,Angel One,DEFAULT
IEX,IEX,DEFAULT
MAZDOCK,Mazagon Dock,DEFAULT
COCHINSHIP,Cochin Shipyard,DEFAULT
TATAELXSI,Tata Elxsi,IT
KPITTECH,KPIT,IT
DELHIVERY,Delhivery,DEFAULT
PIIND,PI Industries,DEFAULT
UPL,UPL,DEFAULT
HINDZINC,Hindustan Zinc,METAL
NATIONALUM,NALCO,METAL
PETRONET,Petronet LNG,DEFAULT
IGL,IGL,DEFAULT
NHPC,NHPC,DEFAULT
ACC,ACC,DEFAULT
DALBHARAT,Dalmia Bharat,DEFAULT
CONCOR,Concor,DEFAULT
PAGEIND,Page Industries,DEFAULT
BHEL,BHEL,DEFAULT
CUMMINSIND,Cummins India,DEFAULT
MFSL,Max Financial,DEFAULT
FORTIS,Fortis,PHARMA
LAURUSLABS,Laurus Labs,PHARMA
PRESTIGE,Prestige Estates,DEFAULT
ABCAPITAL,Aditya Birla Capital,DEFAULT
BANKINDIA,Bank of India,PSUBANK
YESBANK,Yes Bank,BANK
GLENMARK,Glenmark,PHARMA
ZYDUSLIFE,Zydus Life,PHARMA
BALKRISIND,Balkrishna,AUTO
TIINDIA,Tube Investments,AUTO
UNOMINDA,Uno Minda,AUTO
ATGL,Adani Total Gas,DEFAULT
TORNTPOWER,Torrent Power,DEFAULT
RAMCOCEM,Ramco Cements,DEFAULT
JKCEMENT,JK Cement,DEFAULT
POLICYBZR,PB Fintech,DEFAULT
OFSS,Oracle Financial,IT
HINDCOPPER,Hindustan Copper,METAL
DEEPAKNTR,Deepak Nitrite,DEFAULT
ASTRAL,Astral,DEFAULT
BERGEPAINT,Berger Paints,DEFAULT
CROMPTON,Crompton,DEFAULT
KEI,KEI Industries,DEFAULT
SOLARINDS,Solar Industries,DEFAULT
CDSL,CDSL,DEFAULT
CAMS,CAMS,DEFAULT
IPCALAB,Ipca Labs,PHARMA
AJANTPHARM,Ajanta Pharma,PHARMA
ESCORTS,Escorts Kubota,AUTO
APOLLOTYRE,Apollo Tyres,AUTO
M&MFIN,M&M Financial,DEFAULT
POONAWALLA,Poonawalla Fincorp,DEFAULT
RBLBANK,RBL Bank,BANK
RVNL,RVNL,DEFAULT
IRCON,IRCON,DEFAULT
SUZLON,Suzlon,DEFAULT
KAYNES,Kaynes,DEFAULT
SYRMA,Syrma,DEFAULT
PATANJALI,Patanjali Foods,FMCG
OIL,Oil India,DEFAULT
MGL,Mahanagar Gas,DEFAULT
LTTS,L&T Technology,IT
CYIENT,Cyient,IT
TATATECH,Tata Technologies,IT
SWIGGY,Swiggy,DEFAULT
IREDA,IREDA,DEFAULT
HUDCO,HUDCO,PSUBANK
NBCC,NBCC,DEFAULT
NCC,NCC,DEFAULT
IRB,IRB Infra,DEFAULT
JSWINFRA,JSW Infra,DEFAULT
GMRINFRA,GMR Airports,DEFAULT
PVRINOX,PVR INOX,DEFAULT
SUNTV,Sun TV,DEFAULT
ABFRL,Aditya Birla Fashion,FMCG
MANYAVAR,Vedant Fashions,DEFAULT
BATAINDIA,Bata India,DEFAULT
EMAMILTD,Emami,FMCG
BAJAJCON,Bajaj Consumer,FMCG
GRANULES,Granules,PHARMA
GLAND,Gland Pharma,PHARMA
NATCOPHARM,Natco,PHARMA
METROPOLIS,Metropolis,PHARMA
LALPATHLAB,Dr Lal PathLabs,PHARMA
THERMAX,Thermax,DEFAULT
POLYMED,Poly Medicure,PHARMA
AARTIIND,Aarti Industries,DEFAULT
NAVINFLUOR,Navin Fluorine,DEFAULT
VINATIORGA,Vinati Organics,DEFAULT
ATUL,Atul,DEFAULT
COROMANDEL,Coromandel,DEFAULT
CHAMBLFERT,Chambal Fertilisers,DEFAULT
TATACHEM,Tata Chemicals,DEFAULT
BAYERCROP,Bayer CropScience,DEFAULT
FACT,FACT,DEFAULT
NLCINDIA,NLC India,DEFAULT
CESC,CESC,DEFAULT
SJVN,SJVN,DEFAULT
JPPOWER,Jaiprakash Power,DEFAULT
WAAREEENER,Waaree Energies,DEFAULT
PREMIERENE,Premier Energies,DEFAULT
INOXWIND,Inox Wind,DEFAULT
KPRMILL,KPR Mill,DEFAULT
TRIDENT,Trident,DEFAULT
EIHOTEL,EIH,DEFAULT
LEMONTREE,Lemon Tree,DEFAULT
CHALET,Chalet Hotels,DEFAULT
BLUEDART,Blue Dart,DEFAULT
MAHLOG,Mahindra Logistics,DEFAULT
TATACOMM,Tata Communications,DEFAULT
HFCL,HFCL,DEFAULT
TEJASNET,Tejas Networks,IT
RAILTEL,Railtel,DEFAULT
BSOFT,Birlasoft,IT
INTELLECT,Intellect Design,IT
NEWGEN,Newgen,IT
HAPPSTMNDS,Happiest Minds,IT
AFFLE,Affle,IT
TANLA,Tanla,IT
ZENSARTECH,Zensar,IT
SONATSOFTW,Sonata Software,IT
MASTEK,Mastek,IT
FSL,Firstsource,IT
ECLERX,eClerx,IT
INDIAMART,IndiaMART,DEFAULT
JUSTDIAL,Just Dial,DEFAULT
MAPMYINDIA,MapmyIndia,IT
RATEGAIN,RateGain,IT
KPIL,Kalpataru Projects,DEFAULT
KEC,KEC International,DEFAULT
PNCINFRA,PNC Infratech,DEFAULT
KNRCON,KNR Constructions,DEFAULT
GRINFRA,GR Infraprojects,DEFAULT
ENGINERSIN,Engineers India,DEFAULT
RITES,RITES,DEFAULT
TEXRAIL,Texmaco Rail,DEFAULT
TITAGARH,Titagarh Rail,DEFAULT
BEML,BEML,DEFAULT
GRSE,Garden Reach,DEFAULT
DATAPATTNS,Data Patterns,DEFAULT
MTARTECH,MTAR,DEFAULT
ASTRAMICRO,Astra Microwave,DEFAULT
CENTUM,Centum Electronics,DEFAULT
PGEL,PG Electroplast,DEFAULT
AMBER,Amber Enterprises,DEFAULT
WHIRLPOOL,Whirlpool,DEFAULT
BLUESTARCO,Blue Star,DEFAULT
ORIENTELEC,Orient Electric,DEFAULT
FINCABLES,Finolex Cables,DEFAULT
SUPREMEIND,Supreme Industries,DEFAULT
KAJARIACER,Kajaria,DEFAULT
PRSMJOHNSN,Prism Johnson,DEFAULT
NUVOCO,Nuvoco,DEFAULT
INDIACEM,India Cements,DEFAULT
HEIDELBERG,HeidelbergCement,DEFAULT
BIRLACORPN,Birla Corporation,DEFAULT
STARCEMENT,Star Cement,DEFAULT
GSFC,GSFC,DEFAULT
RCF,RCF,DEFAULT
NFL,NFL,DEFAULT
GNFC,GNFC,DEFAULT
DEEPAKFERT,Deepak Fertilisers,DEFAULT
ALKYLAMINE,Alkyl Amines,DEFAULT
FINEORG,Fine Organic,DEFAULT
CLEAN,Clean Science,DEFAULT
GALAXYSURF,Galaxy Surfactants,DEFAULT
NOCIL,NOCIL,DEFAULT
FLUOROCHEM,Gujarat Fluorochem,DEFAULT
LINDEINDIA,Linde India,DEFAULT
POWERINDIA,Hitachi Energy,DEFAULT
HONAUT,Honeywell Automation,DEFAULT
SCHAEFFLER,Schaeffler India,AUTO
ENDURANCE,Endurance,AUTO
SUNDRMFAST,Sundram Fasteners,AUTO
CEATLTD,CEAT,AUTO
JKTYRE,JK Tyre,AUTO
FORCEMOT,Force Motors,AUTO
VARROC,Varroc,AUTO
SANDHAR,Sandhar,AUTO
JBCHEPHARM,JB Chemicals,PHARMA
CAPLIPOINT,Caplin Point,PHARMA
STAR,Strides,PHARMA
SUVENPHAR,Suven Pharma,PHARMA
WOCKPHARMA,Wockhardt,PHARMA
NEULANDLAB,Neuland,PHARMA
ERIS,Eris,PHARMA
PFIZER,Pfizer,PHARMA
ABBOTINDIA,Abbott India,PHARMA
GLAXO,GSK Pharma,PHARMA
SANOFI,Sanofi,PHARMA
ASTERDM,Aster DM,PHARMA
MEDANTA,Global Health,PHARMA
KIMS,KIMS,PHARMA
RAINBOW,Rainbow Hospitals,PHARMA
VIJAYA,Vijaya Diagnostic,PHARMA
KRSNAA,Krsnaa Diagnostics,PHARMA
MEDPLUS,Medplus,PHARMA
SYNGENE,Syngene,PHARMA
CONCORDBIO,Concord Biotech,PHARMA
MANAPPURAM,Manappuram,DEFAULT
IIFL,IIFL Finance,DEFAULT
CREDITACC,CreditAccess,DEFAULT
CANFINHOME,Can Fin Homes,DEFAULT
PNBHOUSING,PNB Housing,DEFAULT
HOMEFIRST,Home First,DEFAULT
KARURVYSYA,Karur Vysya Bank,BANK
CUB,City Union Bank,BANK
SOUTHBANK,South Indian Bank,BANK
MAHABANK,Bank of Maharashtra,PSUBANK
UCOBANK,UCO Bank,PSUBANK
IOB,Indian Overseas Bank,PSUBANK
CENTRALBK,Central Bank,PSUBANK
IDBI,IDBI Bank,PSUBANK
JUBLPHARMA,Jubilant Pharmova,PHARMA
MARKSANS,Marksans,PHARMA
INDOCO,Indoco,PHARMA
HONASA,Honasa,FMCG
RELAXO,Relaxo,DEFAULT
VMART,V-Mart,FMCG
SHOPERSTOP,Shoppers Stop,FMCG
RAYMOND,Raymond,DEFAULT
WELSPUNLIV,Welspun Living,DEFAULT
WELCORP,Welspun Corp,METAL
RATNAMANI,Ratnamani,METAL
JINDALSAW,Jindal Saw,METAL
MOIL,MOIL,METAL
HEG,HEG,METAL
GRAPHITE,Graphite India,METAL
SAREGAMA,Saregama,DEFAULT
ZEEL,Zee Entertainment,DEFAULT
TV18BRDCST,TV18,DEFAULT
SCI,Shipping Corporation,DEFAULT
GESHIP,Great Eastern Shipping,DEFAULT
GPPL,Gujarat Pipavav,DEFAULT
GSPL,Gujarat Gas,DEFAULT
ADANIENSOL,Adani Energy Solutions,DEFAULT
NTPCGREEN,NTPC Green,DEFAULT
KPIGREEN,KPI Green,DEFAULT
SWSOLAR,Sterling and Wilson Solar,DEFAULT
POWERMECH,Power Mech,DEFAULT
AIAENG,AIA Engineering,DEFAULT
ELGIEQUIP,Elgi Equipments,DEFAULT
KIRLOSENG,Kirloskar Oil,DEFAULT
SKFINDIA,SKF India,DEFAULT
TIMKEN,Timken,DEFAULT
GRINDWELL,Grindwell Norton,DEFAULT
3MINDIA,3M India,DEFAULT
SCHNEIDER,Schneider Electric Infra,DEFAULT
BALRAMCHIN,Balrampur Chini,FMCG
EIDPARRY,EID Parry,FMCG
KRBL,KRBL,FMCG
CCL,CCL Products,FMCG
AVANTIFEED,Avanti Feeds,FMCG
GODREJAGRO,Godrej Agrovet,FMCG
SAPPHIRE,Sapphire Foods,FMCG
DEVYANI,Devyani International,FMCG
WESTLIFE,Westlife Foodworld,FMCG
GILLETTE,Gillette India,FMCG
